collection,judge,noise,rho,T,N_unlab,eps,act_t,act_ppi,ratio,wrong_t,wrong_ppi
dl212223,llm,0.9,0.28003952023046547,60,100,0.005,0.43333333333333335,0.34,0.7846153846153846,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,60,100,0.01,0.55,0.43333333333333335,0.7878787878787878,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,60,100,0.02,0.77,0.66,0.8571428571428571,0.0033333333333333335,0.0033333333333333335
dl212223,llm,0.9,0.28003952023046547,60,100,0.05,0.99,0.95,0.9595959595959596,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,90,50,0.005,0.6133333333333333,0.5766666666666667,0.9402173913043478,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,90,50,0.01,0.8033333333333333,0.73,0.9087136929460581,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,90,50,0.02,0.9366666666666666,0.9066666666666666,0.9679715302491103,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,90,50,0.05,1.0,0.9933333333333333,0.9933333333333333,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,90,100,0.005,0.7033333333333334,0.6566666666666666,0.933649289099526,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,90,100,0.01,0.7833333333333333,0.7033333333333334,0.8978723404255319,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,90,100,0.02,0.9166666666666666,0.8666666666666667,0.9454545454545454,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,90,100,0.05,1.0,1.0,1.0,0.0,0.0
