collection,noise,rho,T,N_unlab,eps,act_t_map,act_ppi_map,ratio_map,act_t_sim,act_ppi_crossfit,ratio_crossfit,act_ppi_oracle,ratio_oracle,act_ppi_oracle_noclip,ratio_oracle_noclip,act_ppi_finiteN,ratio_finiteN
dbpedia-entity,0.6,0.3940877704578209,60,300,0.02,0.37,0.3633333333333333,0.981981981981982,0.283,0.31,1.0333333333333334,0.338,1.1655172413793105,0.321,1.1715328467153283,0.306,1.0812720848056538
dbpedia-entity,0.6,0.3940877704578209,60,300,0.05,0.8066666666666666,0.77,0.9545454545454546,0.861,0.842,0.9711649365628604,0.892,1.033603707995365,0.888,1.023041474654378,0.852,0.9895470383275261
dbpedia-entity,0.6,0.3940877704578209,90,50,0.005,0.27,0.2766666666666666,1.0246913580246917,0.167,0.157,0.9181286549707601,0.166,1.099337748344371,0.185,1.010928961748634,0.171,1.0239520958083832
dbpedia-entity,0.6,0.3940877704578209,90,50,0.01,0.3633333333333333,0.3533333333333333,0.9724770642201837,0.233,0.261,1.0155642023346303,0.275,0.9963768115942029,0.249,1.0375,0.248,1.0643776824034334
dbpedia-entity,0.6,0.3940877704578209,90,50,0.02,0.4933333333333333,0.44,0.8918918918918919,0.461,0.482,0.9717741935483871,0.445,0.978021978021978,0.483,0.9938271604938271,0.503,1.0911062906724511
dbpedia-entity,0.6,0.3940877704578209,90,50,0.05,0.94,0.8933333333333333,0.950354609929078,0.973,0.93,0.9499489274770174,0.955,0.9875904860392968,0.968,0.9867482161060143,0.983,1.0102774922918807
dbpedia-entity,0.6,0.3940877704578209,90,100,0.005,0.3033333333333333,0.2633333333333333,0.8681318681318682,0.171,0.168,1.0434782608695652,0.188,1.0217391304347827,0.203,1.041025641025641,0.176,1.0292397660818713
dbpedia-entity,0.6,0.3940877704578209,90,100,0.01,0.3733333333333333,0.38,1.0178571428571428,0.257,0.266,1.015267175572519,0.257,1.0239043824701195,0.3,1.1363636363636362,0.285,1.1089494163424123
dbpedia-entity,0.6,0.3940877704578209,90,100,0.02,0.5833333333333334,0.5666666666666667,0.9714285714285714,0.461,0.51,1.0429447852760736,0.498,1.0289256198347108,0.514,1.0425963488843815,0.506,1.0976138828633406
dbpedia-entity,0.6,0.3940877704578209,90,100,0.05,0.9466666666666668,0.92,0.971830985915493,0.974,0.959,0.9866255144032922,0.972,0.992849846782431,0.985,1.01129363449692,0.975,1.0010266940451746
dbpedia-entity,0.6,0.3940877704578209,90,200,0.005,0.3266666666666666,0.34,1.0408163265306123,0.153,0.172,0.9772727272727273,0.185,1.0946745562130176,0.173,1.0297619047619047,0.171,1.1176470588235294
