collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
cast19,llm,60,0.02,oracle_exact,0.09,0.0,2839.0433333333335,975.4566666666667,1863.5866666666668,0.0,5328.488063637465,0.6006261065573759,full,t,False
cast19,llm,60,0.02,plugin_exact,0.06666666666666667,0.0,2838.9966666666664,975.4566666666667,1863.5399999999997,0.0,24908.11743431389,0.6006261065573759,full,t,False
cast19,llm,90,0.01,static_sum,0.01,0.0,3695.1433333333334,974.0933333333334,2721.05,0.0,13314.548681034621,0.5937367512266746,full,t,False
cast19,llm,90,0.01,per_pair,0.0,0.0,3486.82,974.0933333333334,2512.726666666667,0.0,,0.5937367512266746,full,t,False
cast19,llm,90,0.01,adaptive,0.02,0.0,3691.4133333333334,974.0933333333334,2717.32,0.0,12701.807640926378,0.5937367512266746,full,t,False
cast19,llm,90,0.01,oracle,0.016666666666666666,0.0,3694.59,974.0933333333334,2720.496666666667,0.0,10647.92931688487,0.5937367512266746,full,t,False
cast19,llm,90,0.01,static_sum_v,0.013333333333333334,0.0,3694.49,974.0933333333334,2720.3966666666665,0.0,12194.374122323929,0.5937367512266746,full,t,False
cast19,llm,90,0.01,oracle_exact,0.02,0.0,3755.25,974.0933333333334,2781.1566666666668,0.0,3823.2131455500084,0.5937367512266746,full,t,False
cast19,llm,90,0.01,plugin_exact,0.02,0.0,3751.596666666667,974.0933333333334,2777.5033333333336,0.0,22878.761690766558,0.5937367512266746,full,t,False
cast19,llm,90,0.02,static_sum,0.09333333333333334,0.0,3680.483333333333,978.29,2702.193333333333,0.0,6728.941654156487,0.5995058316805745,full,t,False
cast19,llm,90,0.02,per_pair,0.01,0.0,3469.21,978.29,2490.92,0.0,,0.5995058316805745,full,t,False
cast19,llm,90,0.02,adaptive,0.09666666666666666,0.0,3682.05,978.29,2703.76,0.0,6392.848219569839,0.5995058316805745,full,t,False
cast19,llm,90,0.02,oracle,0.10666666666666667,0.0,3681.41,978.29,2703.12,0.0,5464.780964234731,0.5995058316805745,full,t,False
cast19,llm,90,0.02,static_sum_v,0.11,0.0,3682.16,978.29,2703.87,0.0,6119.540427239789,0.5995058316805745,full,t,False
cast19,llm,90,0.02,oracle_exact,0.10666666666666667,0.0,3742.883333333333,978.29,2764.5933333333332,0.0,2038.5566674381757,0.5995058316805745,full,t,False
cast19,llm,90,0.02,plugin_exact,0.10666666666666667,0.0,3743.7433333333333,978.29,2765.4533333333334,0.0,4957.6862223796525,0.5995058316805745,full,t,False
