collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,var_ratio,cost_ratio,saving_pred,saving_obs
antique,rr,0.01,uniform_nz,631.7119907407409,850.5957333333333,1220.1705376344087,0.25732993244020397,2.7841145411027193,2.688452508731833,-0.45910607432754824,-0.4344893700004553
antique,rr,0.01,weighted_cv,631.7119907407409,850.5957333333333,816.9053959484346,0.25732993244020397,0.8135077710984088,0.8460811342777228,0.047990032663869524,0.03960793131758644
antique,rr,0.01,weighted_cvl,631.7119907407409,850.5957333333333,803.386329588015,0.25732993244020397,0.7073249302843005,0.7843174500484074,0.07531405591687293,0.055501576007574216
antique,rr,0.02,active_cv,631.1158796296295,835.5223611111111,854.3272108843538,0.24464513578027247,1.2845844118257614,1.0919973262929354,-0.06962219207206238,-0.022506698382357193
antique,rr,0.02,active_judge,631.1158796296295,835.5223611111111,1135.8202645502645,0.24464513578027247,3.1207681372382745,2.4691212395158773,-0.5188356088931332,-0.35941336511904387
antique,rr,0.02,ai_calib,631.1158796296295,835.5223611111111,822.1896347031962,0.24464513578027247,1.1478676664862204,0.9347734655413912,-0.03617510534503344,0.01595735437910295
antique,rr,0.02,ai_resid,631.1158796296295,835.5223611111111,786.0242857142857,0.24464513578027247,0.7982976965724967,0.7578448832048915,0.04934548740921526,0.05924207142822702
antique,rr,0.02,ai_robust_0.3,631.1158796296295,835.5223611111111,775.9846594982079,0.24464513578027247,0.7957139995222597,0.7087288955741988,0.04997757632488557,0.07125805889112002
antique,rr,0.02,ai_robust_0.5,631.1158796296295,835.5223611111111,782.0183870967742,0.24464513578027247,0.7835413529046651,0.7382471748128782,0.05295555510945229,0.06403655545877329
antique,rr,0.02,strat_pilot,631.1158796296295,835.5223611111111,823.2256272401434,0.24464513578027247,0.9875621082501999,0.9398417614654663,0.0030428697159501873,0.014717420434583017
antique,rr,0.02,uniform,631.1158796296295,835.5223611111111,1404.5272508591067,0.24464513578027247,4.120231368487997,3.7836929906723396,-0.7633494268096114,-0.6810169496736271
antique,rr,0.02,uniform_nz,631.1158796296295,835.5223611111111,1107.2803225806451,0.24464513578027247,2.6625030613623584,2.3294977708138584,-0.4067232871821128,-0.32525516266032595
antique,rr,0.02,weighted_cv,631.1158796296295,835.5223611111111,794.2037026515152,0.24464513578027247,0.8062060842759213,0.7978603312373967,0.047410738825707906,0.04945248671100633
antique,rr,0.02,weighted_cvl,631.1158796296295,835.5223611111111,771.6743642611684,0.24464513578027247,0.6949403902502373,0.6876420141514591,0.07463134964830762,0.07641686185996865
cast19,inv,0.01,active_cv,974.796435185185,2775.3447368421052,3510.851965811966,0.64876563900514,2.6826695645464884,1.4084906960246633,-1.091658195277503,-0.26501472743409504
cast19,inv,0.01,active_judge,974.796435185185,2775.3447368421052,3457.154861111111,0.64876563900514,2.2322603605393314,1.3786680555259656,-0.7994481802260035,-0.245666823014137
cast19,inv,0.01,ai_calib,974.796435185185,2775.3447368421052,3384.3032786885246,0.64876563900514,2.2666608173744085,1.338207279019417,-0.821766014586681,-0.2194172614892218
cast19,inv,0.01,ai_resid,974.796435185185,2775.3447368421052,2726.3977777777777,0.64876563900514,1.1874186638068422,0.972815525682213,-0.1215907891861355,0.017636352851797876
cast19,inv,0.01,ai_robust_0.3,974.796435185185,2775.3447368421052,2682.329691358025,0.64876563900514,1.160700105330638,0.9483407107721102,-0.1042567065230247,0.03351477178648321
cast19,inv,0.01,ai_robust_0.5,974.796435185185,2775.3447368421052,2715.4386666666664,0.64876563900514,1.1748896352843954,0.9667289846541126,-0.11346238599065664,0.021585091531224454
cast19,inv,0.01,strat_pilot,974.796435185185,2775.3447368421052,2736.5570588235296,0.64876563900514,1.0000510604678832,0.9784578519871518,-3.312627707412512e-05,0.013975805421098664
cast19,inv,0.01,uniform_nz,974.796435185185,2775.3447368421052,3485.0226754385963,0.64876563900514,2.109412604536374,1.3941454599931717,-0.7197487773023974,-0.255708031213445
cast19,inv,0.01,weighted_cv,974.796435185185,2775.3447368421052,2745.685614035088,0.64876563900514,1.2014149940638088,0.9835277272041387,-0.1306711273290234,0.010686644586273886
cast19,inv,0.01,weighted_cvl,974.796435185185,2775.3447368421052,2632.90649122807,0.64876563900514,0.9973529176214648,0.9208917386537429,0.0017173360908096155,0.0513227217228901
cast19,inv,0.02,active_cv,975.293564814815,2127.2223129251697,2855.6808225108225,0.5415178005190832,2.7007427588896324,1.6323815694161896,-0.9209824780426711,-0.342445876559061
cast19,inv,0.02,active_judge,975.293564814815,2127.2223129251697,2860.4575862068964,0.5415178005190832,2.2353188204538843,1.6365283221592823,-0.6689471305920156,-0.3446914169837969
cast19,inv,0.02,ai_calib,975.293564814815,2127.2223129251697,2736.2796396396398,0.5415178005190832,2.2285202692056743,1.528728298268082,-0.6652655940733686,-0.2863157851503295
cast19,inv,0.02,ai_resid,975.293564814815,2127.2223129251697,2145.0066666666667,0.5415178005190832,1.2339966298974234,1.0154387619639416,-0.12671334035093068,-0.008360364421451383
cast19,inv,0.02,ai_robust_0.3,975.293564814815,2127.2223129251697,2182.277906976744,0.5415178005190832,1.1457611848420766,1.0477942703851157,-0.07893227621673682,-0.025881448176362287
cast19,inv,0.02,ai_robust_0.5,975.293564814815,2127.2223129251697,2081.058196078431,0.5415178005190832,1.1452924840769165,0.9599245032104051,-0.07867846640928575,0.02170159487621104
cast19,inv,0.02,strat_pilot,975.293564814815,2127.2223129251697,2075.6465384615385,0.5415178005190832,1.010089109165637,0.9552265931827493,-0.005463432204572664,0.024245596781423684
cast19,inv,0.02,uniform,975.293564814815,2127.2223129251697,4777.964230769231,0.5415178005190832,3.9229428486125,3.3011335746176904,-1.5828255824236246,-1.246104792027587
cast19,inv,0.02,uniform_nz,975.293564814815,2127.2223129251697,2822.517619047619,0.5415178005190832,2.0259903118046934,1.6035922857755087,-0.5555920170023658,-0.32685596700343944
cast19,inv,0.02,weighted_cv,975.293564814815,2127.2223129251697,2119.7514285714287,0.5415178005190832,1.1939732396998286,0.9935144561970553,-0.10503996212181209,0.003512037415340785
cast19,inv,0.02,weighted_cvl,975.293564814815,2127.2223129251697,2024.1247297297296,0.5415178005190832,1.0010210647315405,0.9105000345164027,-0.0005529247276114255,0.048465824455211415
cast19,llm,0.01,active_cv,974.796435185185,2775.3447368421052,2717.631062801932,0.64876563900514,1.6507372525693018,0.9679466116032192,-0.42217596948757224,0.020795137005517494
cast19,llm,0.01,active_judge,974.796435185185,2775.3447368421052,3097.6334920634918,0.64876563900514,3.0946654691179103,1.1789947844913722,-1.3589469815742823,-0.1161256657391323
cast19,llm,0.01,ai_calib,974.796435185185,2775.3447368421052,2459.347476190476,0.64876563900514,0.9887000688154387,0.8244994258910805,0.007331007075666017,0.1138587421075421
cast19,llm,0.01,ai_resid,974.796435185185,2775.3447368421052,2339.741052631579,0.64876563900514,0.7939503977606112,0.7580716475033353,0.13367790186359202,0.15695480220095936
cast19,llm,0.01,ai_robust_0.3,974.796435185185,2775.3447368421052,2324.402028985507,0.64876563900514,0.6761598498889452,0.7495525627156868,0.21009636192231892,0.16248169168695714
cast19,llm,0.01,ai_robust_0.5,974.796435185185,2775.3447368421052,2317.1708695652173,0.64876563900514,0.6729811927072428,0.7455364752751914,0.21215856547998435,0.16508719122159066
cast19,llm,0.01,strat_pilot,974.796435185185,2775.3447368421052,2736.5570588235296,0.64876563900514,1.0000510604678832,0.9784578519871518,-3.312627707412512e-05,0.013975805421098664
cast19,llm,0.01,uniform_nz,974.796435185185,2775.3447368421052,3485.0226754385963,0.64876563900514,2.109412604536374,1.3941454599931717,-0.7197487773023974,-0.255708031213445
cast19,llm,0.01,weighted_cv,974.796435185185,2775.3447368421052,2319.7571228070174,0.64876563900514,0.674048573025944,0.7469728450962175,0.21146608580546064,0.16415532383680487
cast19,llm,0.01,weighted_cvl,974.796435185185,2775.3447368421052,2189.5311111111114,0.64876563900514,0.6085439226932584,0.6746470921152684,0.2539632521363537,0.21107778718601833
cast19,llm,0.02,active_cv,975.293564814815,2127.2223129251697,2050.3540888888883,0.5415178005190832,1.7373025475928732,0.9332699837881662,-0.3992624538896093,0.03613549160763496
cast19,llm,0.02,active_judge,975.293564814815,2127.2223129251697,2603.121212121212,0.5415178005190832,3.202616278504229,1.4131322358060041,-1.1927559225231383,-0.2237184596571986
cast19,llm,0.02,ai_calib,975.293564814815,2127.2223129251697,1986.4830107526882,0.5415178005190832,0.9784796160607026,0.877822910138016,0.011653670977134557,0.06616106897588392
cast19,llm,0.02,ai_resid,975.293564814815,2127.2223129251697,1811.3926754385964,0.5415178005190832,0.7127453698376568,0.7258253707057263,0.1555534955144348,0.1484704422135701
cast19,llm,0.02,ai_robust_0.3,975.293564814815,2127.2223129251697,1820.49101010101,0.5415178005190832,0.6667994759141952,0.7337237191733191,0.1804340149347508,0.14419334592366595
cast19,llm,0.02,ai_robust_0.5,975.293564814815,2127.2223129251697,1716.0606818181818,0.5415178005190832,0.6498764831010513,0.6430667853532911,0.18959811678112476,0.19328568932769163
cast19,llm,0.02,strat_pilot,975.293564814815,2127.2223129251697,2075.6465384615385,0.5415178005190832,1.010089109165637,0.9552265931827493,-0.005463432204572664,0.024245596781423684
cast19,llm,0.02,uniform,975.293564814815,2127.2223129251697,4777.964230769231,0.5415178005190832,3.9229428486125,3.3011335746176904,-1.5828255824236246,-1.246104792027587
cast19,llm,0.02,uniform_nz,975.293564814815,2127.2223129251697,2822.517619047619,0.5415178005190832,2.0259903118046934,1.6035922857755087,-0.5555920170023658,-0.32685596700343944
cast19,llm,0.02,weighted_cv,975.293564814815,2127.2223129251697,1787.6766666666665,0.5415178005190832,0.6661575163902783,0.7052372841501697,0.18078164744416456,0.15961925756203155
cast19,llm,0.02,weighted_cvl,975.293564814815,2127.2223129251697,1720.2133333333334,0.5415178005190832,0.6059071996704687,0.646671740539941,0.213408266434854,0.19133354192404706
cast19,rr,0.01,active_cv,974.796435185185,2775.3447368421052,3074.2677604166665,0.64876563900514,1.6204866157682787,1.1660177754184562,-0.4025503957730441,-0.10770662815556653
