collection,judge,pair,T,n_queries,judge_acc,rho,true_gap,se_human,se_ppi,ess_gain,mc_var_human,mc_var_ppi,mc_mse_human,mc_mse_ppi,mc_gain,cover90_human,cover90_ppi,theory_gain,lam_mean
arguana,rr,trunc_vs_ad_probe,30,1406,0.8219643040194995,0.14374896687316027,0.05078152664363322,0.035998285989537776,0.036688096878203076,0.9627494461415523,0.0013732412072107122,0.0014102229461839567,0.001376122427515055,0.0014163489263962713,0.9715984542145503,0.88,0.884,1.0210997660953163,0.2478926084459158
arguana,rr,trunc_vs_ad_probe,90,1406,0.8219643040194995,0.14374896687316027,0.05078152664363322,0.02097853500465638,0.021016547320754003,0.9963859011318045,0.00042298960534661444,0.00042080608348868636,0.0004243151236570942,0.00042190466261102656,1.0057132837336997,0.902,0.914,1.0210997660953163,0.18827608830821524
cqadupstack-android,rr,glob_probe_vs_trunc,10,699,0.6100898045430534,-0.04425479762712722,0.18238221365009882,0.08672994267125113,0.09169949063634962,0.8945492831871192,0.00796466226833244,0.0087257308429911,0.007949449778123183,0.008709919027945162,0.9126892859299763,0.892,0.886,1.0019623303116447,0.20105162057057516
cqadupstack-android,rr,glob_probe_vs_trunc,30,699,0.6100898045430534,-0.04425479762712722,0.18238221365009882,0.05172346986305423,0.05296566625691946,0.9536443152285882,0.002801625731723263,0.0028954099261167122,0.002796823823808215,0.0028904445514676943,0.9676102668664096,0.888,0.896,1.0019623303116447,0.09921897864975548
cqadupstack-android,rr,glob_probe_vs_trunc,90,699,0.6100898045430534,-0.04425479762712722,0.18238221365009882,0.029728641392153858,0.029906958293331527,0.9881107732774117,0.0007786992361066596,0.0007846789357634533,0.0007847261613524878,0.0007906253042994468,0.9925386362985358,0.912,0.912,1.0019623303116447,0.043447362725136496
cqadupstack-android,rr,glob_probe_vs_ad_probe,10,699,0.6100898045430534,-0.04075048994920652,-0.0019860300860152203,0.0463440262803353,0.04867109245087505,0.9066618348142876,0.0027949282933933373,0.0030441405269856447,0.0027983915341109164,0.0030436961747750584,0.9194056743583249,0.93,0.922,1.0016633646184294,0.2562202718870731
cqadupstack-android,rr,glob_probe_vs_ad_probe,30,699,0.6100898045430534,-0.04075048994920652,-0.0019860300860152203,0.028294123254453116,0.02921793282357765,0.9377638988321749,0.0007774778607909342,0.0008483912374459601,0.0007780812995197037,0.0008493222070927229,0.9161202815867951,0.91,0.892,1.0016633646184294,0.18498845512861395
cqadupstack-android,rr,glob_probe_vs_ad_probe,90,699,0.6100898045430534,-0.04075048994920652,-0.0019860300860152203,0.016922370534526224,0.01712974364059577,0.9759345056898672,0.0002442551484441875,0.00025407177845180326,0.00024397591331123099,0.0002538076231159745,0.9612631422017965,0.92,0.92,1.0016633646184294,0.09776268768851458
cqadupstack-android,rr,trunc_vs_ad_probe,10,699,0.6100898045430534,-0.1744281981925685,-0.18436824373611402,0.08141460040965585,0.08650071961572321,0.8858601190231077,0.007955810738655108,0.008533478206775054,0.007951339174321836,0.008518420480335983,0.9334288196593249,0.88,0.886,1.0313799370707402,0.13981270759671968
cqadupstack-android,rr,trunc_vs_ad_probe,30,699,0.6100898045430534,-0.1744281981925685,-0.18436824373611402,0.04802683586233552,0.04872024158416015,0.9717377711037168,0.002225002593752024,0.002287052242372191,0.0022241721833725866,0.0022851082560202407,0.9733333978873365,0.91,0.902,1.0313799370707402,0.043794034537473436
cqadupstack-android,rr,trunc_vs_ad_probe,90,699,0.6100898045430534,-0.1744281981925685,-0.18436824373611402,0.028040794254785763,0.028119941982935128,0.9943786269748015,0.000671884231412758,0.0006734906886728155,0.0006710397427167818,0.0006727043769749532,0.9975254594512124,0.92,0.922,1.0313799370707402,0.009968586266988808
