collection,judge,eps,quantity,point,lo,hi,mc_se,n_reached,boot
dbpedia-entity,rr,0.01,J50[weighted_cv],3613.319462365591,3272.996099099099,4071.683851351351,217.4671539694999,1000,1000
dbpedia-entity,rr,0.01,J50[weighted_cvl],3346.883144654088,3148.6232425925928,3631.595684210527,126.93991449540516,1000,1000
dbpedia-entity,rr,0.01,saving uniform->uniform_nz,,,,,0,1000
dbpedia-entity,rr,0.01,saving uniform_nz->weighted,0.3867453340797372,0.26459465628324125,0.45569161536083147,0.04969790221683081,998,1000
dbpedia-entity,rr,0.01,saving uniform->weighted,,,,,0,1000
dbpedia-entity,rr,0.01,saving weighted->weighted_cvl,0.06532013656702529,0.008484685925550961,0.16707508516728503,0.04258821422804135,1000,1000
dbpedia-entity,rr,0.01,saving weighted->weighted_cv,-0.009087200136661755,-0.1064301093183859,0.09726711830806803,0.05273078372956264,1000,1000
dl212223,llm,0.01,J50[active_cv],2648.7987640449437,2557.4941823152094,2744.8748877611065,50.62688565562299,1000,1000
dl212223,llm,0.01,J50[active_judge],2897.2892424242427,2813.430056992164,2977.0968836879433,42.557325884727454,1000,1000
dl212223,llm,0.01,J50[strat_pilot],1978.5655782312924,1929.4036696724709,2065.5372079591834,37.17235486226106,1000,1000
dl212223,llm,0.01,J50[uniform],4578.612297297297,4384.403056812469,4804.808533333333,106.05663066246868,999,1000
dl212223,llm,0.01,J50[uniform_nz],3188.634761904762,3074.0299844008136,3370.353688235294,75.4478609941712,1000,1000
dl212223,llm,0.01,J50[weighted],1957.7811979166668,1918.686318627451,2009.8625862037543,24.163613146264655,1000,1000
dl212223,llm,0.01,J50[weighted_cv],1923.7525203252032,1896.0054130134545,1955.7535315789473,15.549665588743377,1000,1000
dl212223,llm,0.01,J50[weighted_cvl],1882.6038666666666,1849.0958915229885,1912.117527368421,16.49053129836569,1000,1000
dl212223,llm,0.01,saving uniform->uniform_nz,0.30358052727308293,0.2553039529939009,0.3422020542070611,0.022703752604457925,999,1000
dl212223,llm,0.01,saving uniform_nz->weighted,0.38601271575325635,0.3584415399982449,0.42123830059675427,0.015905893326160152,1000,1000
dl212223,llm,0.01,saving uniform->weighted,0.5724072992438511,0.5500174878569399,0.5937491406424624,0.011280371530605304,999,1000
dl212223,llm,0.01,saving weighted->weighted_cvl,0.03839925081004891,0.016870605597485,0.06716866776288141,0.012485923291981817,1000,1000
dl212223,llm,0.01,saving weighted->weighted_cv,0.01738124649867634,-0.005596878293841312,0.044452046869648425,0.012404578620603261,1000,1000
