collection,eps,n_train,fixed_cand,method,feasible_frac,slack_med,slack_q25,act_feasible_max,act_max,wrong_max,docs_pilot,J50_total,J50_sampling,budgets
cast19,0.01,80,pilot,static_sum,0.9966666666666667,0.01,0.0085235358833418,1.0,0.9966666666666668,0.0,3905.71,5417.070375,1511.360375,9
cast19,0.02,20,best,oracle_exact,1.0,0.02,0.02,1.0,1.0,0.0,973.8266666666669,2349.1014285714286,1375.2747619047618,9
cast19,0.02,20,best,per_pair,1.0,0.02,0.02,0.1233333333333333,0.1233333333333333,0.0,973.8266666666669,,,9
cast19,0.02,20,best,plugin_exact,1.0,0.02,0.02,1.0,1.0,0.0,973.8266666666669,2466.845698924731,1493.0190322580645,9
cast19,0.02,20,best,static_sum,1.0,0.02,0.02,1.0,1.0,0.0,973.8266666666669,2523.3274193548386,1549.5007526881718,9
cast19,0.02,10,pilot,oracle_exact,0.83,0.0185235358833418,0.0141179468011476,1.0,0.83,0.0,489.2099999999999,2664.7767083333333,2175.5667083333333,9
cast19,0.02,20,pilot,oracle_exact,0.9166666666666667,0.02,0.017337507535402804,1.0,0.9166666666666666,0.0,975.8566666666667,2749.209435028248,1773.352768361582,7
cast19,0.02,40,pilot,oracle_exact,0.9700000000000001,0.02,0.0185235358833418,1.0,0.97,0.0,1953.1899999999998,3406.747562724014,1453.557562724014,9
cast19,0.02,80,pilot,oracle_exact,1.0,0.02,0.0185235358833418,1.0,1.0,0.0,3899.976666666667,4680.441449275362,780.4647826086957,9
cast19,0.02,10,pilot,per_pair,0.83,0.0185235358833418,0.0141179468011476,0.0682730923694779,0.0566666666666666,0.0,489.2099999999999,,,9
cast19,0.02,20,pilot,per_pair,0.9166666666666667,0.02,0.017337507535402804,0.069090909090909,0.0633333333333333,0.0,975.8566666666667,,,7
cast19,0.02,40,pilot,per_pair,0.9700000000000001,0.02,0.0185235358833418,0.0309278350515463,0.03,0.0,1953.1899999999998,,,9
cast19,0.02,80,pilot,per_pair,1.0,0.02,0.0185235358833418,0.09,0.09,0.0,3899.976666666667,,,9
cast19,0.02,10,pilot,plugin_exact,0.83,0.0185235358833418,0.0141179468011476,1.0,0.83,0.0,489.2099999999999,2734.977314814815,2245.767314814815,9
cast19,0.02,20,pilot,plugin_exact,0.9166666666666667,0.02,0.017337507535402804,1.0,0.9166666666666666,0.0033333333333333,975.8566666666667,2799.3886666666667,1823.5320000000002,7
cast19,0.02,40,pilot,plugin_exact,0.9700000000000001,0.02,0.0185235358833418,1.0,0.97,0.0,1953.1899999999998,3376.7139583333333,1423.5239583333334,9
cast19,0.02,80,pilot,plugin_exact,1.0,0.02,0.0185235358833418,1.0,1.0,0.0,3899.976666666667,4664.903928571429,764.9272619047622,9
cast19,0.02,10,pilot,static_sum,0.83,0.0185235358833418,0.0141179468011476,0.9839357429718876,0.8166666666666667,0.0,489.2099999999999,3049.7907017543857,2560.5807017543857,9
cast19,0.02,20,pilot,static_sum,0.9166666666666667,0.02,0.017337507535402804,0.9963636363636365,0.9133333333333332,0.0,975.8566666666667,3180.989957805907,2205.1332911392406,7
cast19,0.02,40,pilot,static_sum,0.9700000000000001,0.02,0.0185235358833418,1.0,0.97,0.0033333333333333,1953.1899999999998,3617.778428571429,1664.5884285714287,9
cast19,0.02,80,pilot,static_sum,1.0,0.02,0.0185235358833418,1.0,1.0,0.0,3899.976666666667,4779.010476190476,879.0338095238096,9
cast19,0.03,10,pilot,oracle_exact,0.9133333333333332,0.0285235358833418,0.0224099792403208,1.0,0.9133333333333332,0.0033333333333333,490.52000000000004,1880.7109999999998,1390.191,9
cast19,0.03,20,pilot,oracle_exact,0.98,0.030000000000000002,0.0255944109178057,1.0,0.98,0.0,972.3033333333331,2163.9308835341367,1191.6275502008034,9
cast19,0.03,40,pilot,oracle_exact,0.9966666666666667,0.030000000000000002,0.0285235358833418,1.0,0.9966666666666668,0.0,1954.5433333333333,2847.6246666666666,893.0813333333333,9
cast19,0.03,80,pilot,oracle_exact,1.0,0.030000000000000002,0.0285235358833418,1.0,1.0,0.0,3905.71,4382.393333333333,476.6833333333334,9
