collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,vr_pred_med,vr_pred_q25,vr_pred_q75,cost_ratio_obs,saving_pred_med,saving_obs,L_post_obs,L_post_pred_med,L_post_pred_q25,L_post_pred_q75,share_pred_med,saving_pred_pilot_med,frac_draws_recommend_pilot,frac_draws_recommend,cell_truth,slack_pilot_med,slack_true_med
cast19,inv,0.01,active_cv,974.7662962962963,2775.3447368421052,3510.851965811966,0.6487764985169291,2.890379469379386,2.526108749500772,3.2643923556362173,1.4084838585243231,-1.2264337730122483,-0.26501472743409504,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,-1.066825789343794,0.0,0.0,0,0.02680795714259165,0.01
cast19,inv,0.01,active_judge,974.7662962962963,2775.3447368421052,3457.154861111111,0.6487764985169291,2.3942558876662803,2.14311619516009,2.681444117947566,1.3786617172103477,-0.9045604528367421,-0.245666823014137,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,-0.7943530641383119,0.0,0.0,0,0.02680795714259165,0.01
cast19,inv,0.01,strat_pilot,974.7662962962963,2775.3447368421052,2736.5570588235296,0.6487764985169291,0.999776407813454,0.9978273350699164,1.0002444232666852,0.9784582125692797,0.000145061355883055,0.013975805421098664,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,0.00012618532819185923,0.0,0.0,0,0.02680795714259165,0.01
cast19,inv,0.01,uniform_nz,974.7662962962963,2775.3447368421052,3485.0226754385963,0.6487764985169291,1.4994187737372404,1.1811021993290232,2.7115504978904803,1.3941388626098214,-0.32401116331886526,-0.255708031213445,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,-0.3287961198489562,0.0,0.0,0,0.02680795714259165,0.01
cast19,inv,0.01,weighted_cv,974.7662962962963,2775.3447368421052,2771.926875,0.6487764985169291,1.2211051253381162,1.1468259970258248,1.299176703520074,0.9981017978638748,-0.1434478090210098,0.001231508935352732,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,-0.11959076268350873,0.0,0.0,0,0.02680795714259165,0.01
cast19,inv,0.01,weighted_cvl,974.7662962962963,2775.3447368421052,2632.90649122807,0.6487764985169291,1.0,1.0,1.0,0.9208930628032745,0.0,0.0513227217228901,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,0.0,0.0,0.0,1,0.02680795714259165,0.01
cast19,llm,0.01,active_cv,974.7662962962963,2775.3447368421052,2717.6310628019323,0.6487764985169291,1.7633298923042386,1.3256694256604082,2.4366046119569305,0.9679471481271995,-0.4952304947424484,0.020795137005517272,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,-0.4343872800139521,0.05333333333333334,0.06,0,0.02680795714259165,0.01
cast19,llm,0.01,active_judge,974.7662962962963,2775.3447368421052,3097.6334920634918,0.6487764985169291,3.7261149931675632,3.186088043875918,4.331030747146745,1.1789917883964507,-1.7686393398217537,-0.1161256657391323,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,-1.5285354970157936,0.0,0.0,0,0.02680795714259165,0.01
cast19,llm,0.01,strat_pilot,974.7662962962963,2775.3447368421052,2736.5570588235296,0.6487764985169291,0.999776407813454,0.9978273350699164,1.0002444232666852,0.9784582125692797,0.000145061355883055,0.013975805421098664,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,0.00012618532819185923,0.0,0.0,0,0.02680795714259165,0.01
cast19,llm,0.01,uniform_nz,974.7662962962963,2775.3447368421052,3485.0226754385963,0.6487764985169291,1.4994187737372404,1.1811021993290232,2.7115504978904803,1.3941388626098214,-0.32401116331886526,-0.255708031213445,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,-0.3287961198489562,0.0,0.0,0,0.02680795714259165,0.01
cast19,llm,0.01,weighted_cv,974.7662962962963,2775.3447368421052,2355.4335135135134,0.6487764985169291,0.5859507102372694,0.5063907388476905,0.6959931389547662,0.7667909301405917,0.2686254484256858,0.15130056376577672,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,0.22942564230943,0.9466666666666667,0.96,1,0.02680795714259165,0.01
cast19,llm,0.01,weighted_cvl,974.7662962962963,2775.3447368421052,2189.5311111111114,0.6487764985169291,0.5106067167047104,0.4368044948998006,0.5874377895709306,0.6746525380180514,0.31750686073402157,0.21107778718601833,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,0.28672935509112374,0.9933333333333333,1.0,1,0.02680795714259165,0.01
