collection,judge,budget_full_eq,eps,method,draw,pilot,v_pilot,v_pilot_ref,slack_pilot,n_queries,cand
webis-touche2020,rr,2,0.01,uniform_nz,28,753,0.056353367728246354,0.047733916233814136,0.05053949722323663,49,2
webis-touche2020,rr,2,0.01,weighted,28,753,0.047733916233814136,0.047733916233814136,0.05053949722323663,49,2
webis-touche2020,rr,2,0.01,active_judge,28,753,0.10676189067600714,0.047733916233814136,0.05053949722323663,49,2
webis-touche2020,rr,2,0.01,strat_pilot,28,753,0.048228245686138246,0.047733916233814136,0.05053949722323663,49,2
webis-touche2020,rr,2,0.01,weighted_cv,28,753,0.04159046795816011,0.047733916233814136,0.05053949722323663,49,2
webis-touche2020,rr,2,0.01,active_cv,28,753,0.0913776941182576,0.047733916233814136,0.05053949722323663,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,28,753,0.03723468784211147,0.047733916233814136,0.05053949722323663,49,2
webis-touche2020,rr,2,0.01,uniform,29,765,0.07296724160769474,0.044579592774805867,0.05513780523330933,49,2
webis-touche2020,rr,2,0.01,uniform_nz,29,765,0.05502938947012113,0.044579592774805867,0.05513780523330933,49,2
webis-touche2020,rr,2,0.01,weighted,29,765,0.044579592774805867,0.044579592774805867,0.05513780523330933,49,2
webis-touche2020,rr,2,0.01,active_judge,29,765,0.10306890044931598,0.044579592774805867,0.05513780523330933,49,2
webis-touche2020,rr,2,0.01,strat_pilot,29,765,0.045474089103835394,0.044579592774805867,0.05513780523330933,49,2
